fps,time,date,plyrName,plyrLocation,plyrHealth,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrHunger,plyrSat,plyrView,plyrFacing,plyrSelectedSlot,plyrSelectedItem,plyrRideState,plyrRideVehicle,plyrMomentum
44.0,13:46:57.049615500,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.063639800,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.067640100,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.070897,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.073898100,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.077404100,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.138525200,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.204304400,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.234422500,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.283532300,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.331832400,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.448990200,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
44.0,13:46:57.463029900,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
38.0,13:46:57.525291700,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
38.0,13:46:57.537314600,2025-11-10,literal{minecrafter256},"(110.2491633594735, 72.0, 141.33171405901481)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[0.8950476637525155, -0.4067370384250536, -0.18290615403638127]",north,0,8 minecraft:birch_log,False,Player is not currently riding anything,0.0784000015258789
